Name,Domain,Stipend,Location,Branches
Nucleus Software Export Ltd(Noida),IT,30000,Noida,Any A3 Any A7 Any A8 Any AA A3 A7 A8 AA
Nutanix Technologies India Pvt. Ltd.(Bangalore),IT,90000,Bangalore,A7 A7B1 A7B2 A7B3 A7B4 A7B5 C6 H103 H112 H313
Nvidia - Software(Pune),,35000,Pune,A7 H103 H112 H140
Nvidia Graphics - Hardware(Hyderabad),Electronics,35000,Hyderabad,A3 A7 AA
Nvidia Graphics - Hardware(Bangalore),Electronics,35000,Bangalore,A3 A7 AA
Nvidia Graphics -Software(Bangalore),IT,35000,Bangalore,A3 A7 A8 AA
NXP India Pvt Ltd.(Bangalore),,28000,Bangalore,H140
OfBusiness(Gurgaon),IT,,Gurgaon,A3 A7 A8 AA C6 H103 H112 H313
OLX Group(Gurgaon),,60000,Gurgaon,A7
OPDlift (Healthlift Pvt. Ltd.)(Bangalore),,20000,Bangalore,H149
OYO Non Tech(Gurgaon),Others,45000,Gurgaon,A3
Oyo Rooms (Tech)(Bangalore),IT,45000,Bangalore,Any A3 Any A7 Any A8 Any AA A3 A7 A8 AA
OYO Tech(Gurgaon),IT,,Gurgaon,A3 A7 A8 AA C6
PAYPAL(Chennai),IT,50000,Chennai,Any A7 A7 H103 H112
PAYPAL(Bangalore),IT,50000,Bangalore,A7 H103 H112
Petasense - Services & App Development(Bangalore),IT,43000,Bangalore,A7 H103
Petasense Technologies Pvt. Ltd(Hyderabad),,41000,Hyderabad,A3 A7
Piramal Group(Mumbai),IT,70000,Mumbai,A7 B4 C6 H103 H112 H313
Planet Express Innovations Pvt Ltd(Bangalore),,20000,Bangalore,A3
Pluss Advanced Technologies Pvt. Ltd.(Gurgaon),Chemical,,Gurgaon,A1 H101
Policybazaar Insurance Web Aggregator Pvt. Ltd.(Gurgaon),,25000,Gurgaon,Any
Porter(Bangalore),,70000,Bangalore,A7
Publicis Sapient (Bangalore),IT,35000,Bangalore,Any A7 A7 H103
Qubole(Bangalore),IT,90000,Bangalore,A7
Quick Heal Technologies Ltd(Pune),,40000,Pune,A7 H103
Reflexis Systems India Pvt Ltd.(Pune),IT,30000,Pune,Any
Repos Energy India Pvt. Ltd.(Pune),,20000,Pune,A3
